Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Slbp,Other,0.7625,0.3908,Real,6.2739,22.45,0.7751,0.0348,False,0.1018,1,24,False,"AR(2) unique"
Flnb,Other,0.697,0.2401,Real,203.5797,11.35,0.0004,0.6359,True,-0.6255,0.0127,24,True,"All agree"
Abhd6,Other,0.691,0.3528,Real,331.3761,8.36,0,0.7259,True,-0.7127,0.0027,24,True,"All agree"
Rpp14,Other,0.5628,0.0962,Real,7.9279,10.8,0.7686,0.0361,False,0.1865,1,20,False,"AR(2) unique"
Pxk,Other,0.6798,0.1832,Real,33.9353,9.22,0.2529,0.1828,False,-0.3577,1,20,False,"AR(2) unique"
Kctd6,Other,0.5078,0.1813,Complex,3.4365,16.55,0.9442,0.0081,False,0.1382,1,28,False,"AR(2) unique"
Ptprg,Other,0.7553,0.2544,Real,8.1179,16.52,0.8373,0.0244,False,0.1527,1,24,False,"AR(2) unique"
Gm10404,Other,0.1509,0.0028,Complex,3.0182,2.28,0.3647,0.1341,False,0.337,1,20,False,"All agree: none"
3830406C13Rik,Other,0.7636,0.4088,Real,63.6133,0.38,0,0.7717,True,0.6327,0.0109,24,True,"All agree"
Synpr,Other,0.4369,0.0337,Real,2.7628,11.98,0.0684,0.3145,False,-0.3839,0.9062,24,False,"All agree: none"
Sntn,Other,0.5239,0.0702,Real,1.3738,13.43,0.5178,0.0885,False,-0.25,1,20,False,"AR(2) unique"
Gm11100,Other,0.5651,0.0778,Real,1.7111,14.22,0.0368,0.3649,True,-0.4088,0.621,20,False,"Partial"
Atxn7,Other,0.5629,0.0979,Real,42.8164,13.2,0.0497,0.3414,True,-0.457,0.2954,24,False,"Partial"
Olfr31,Other,0.612,0.1173,Real,2.8764,14.34,0.4084,0.1192,False,-0.1798,1,20,False,"AR(2) unique"
Il3ra,Other,0.6055,0.2982,Complex,3.5471,13.99,0.7545,0.0387,False,0.1488,1,28,False,"AR(2) unique"
Slc4a7,Other,0.6829,0.1776,Real,23.9451,14.38,0.0033,0.5278,True,-0.4891,0.1674,24,False,"Partial"
Nek10,Other,0.7151,0.2219,Real,0.5449,17.85,0.3283,0.1485,False,0.357,1,28,False,"AR(2) unique"
B230110C06Rik,Other,0.7051,0.2325,Real,2.7818,13.32,0.1087,0.272,False,0.3607,1,28,False,"AR(2) unique"
Gm10403,Other,0.268,0.0057,Complex,2.536,13.92,0.3721,0.1316,False,-0.2972,1,20,False,"All agree: none"
Ngly1,Other,0.7232,0.2433,Real,53.5844,23.38,0.0052,0.5002,True,0.48,0.1901,24,False,"Partial"
Top2b,Other,0.5921,0.1057,Real,17.4077,19.23,0.5867,0.0719,False,0.2742,1,28,False,"AR(2) unique"
Thrb,Other,0.5434,0.1556,Real,55.3318,4.54,0.042,0.3546,True,0.4526,0.3108,20,False,"Partial"
Nkiras1,Other,0.6317,0.1316,Real,40.5929,3.07,0.0403,0.3581,True,-0.4537,0.2961,28,False,"Partial"
Fdft1,Other,0.4059,0.1073,Real,508.1525,0.23,0.026,0.3911,True,0.4727,0.217,24,False,"Rhythm-only"
Nid2,Other,0.6247,0.614,Complex,30.2976,2.6,0,0.8446,True,-0.72,0.0024,24,True,"All agree"
Nudt13,Other,0.6535,0.1968,Real,28.7408,1.95,0.0008,0.6012,True,0.6424,0.0098,24,True,"All agree"
Fam149b,Other,0.7742,0.3643,Real,83.8084,2.81,0,0.7686,True,0.7031,0.0033,24,True,"All agree"
1810062O18Rik,Other,0.6487,0.1388,Real,3.4397,13.03,0.1901,0.2157,False,-0.3035,1,24,False,"AR(2) unique"
Sec24c,Other,0.4391,0.0325,Real,70.1217,5.4,0.3464,0.1411,False,0.3158,1,28,False,"All agree: none"
Fut11,Other,0.1687,0.0478,Complex,13.3851,3.14,0.0862,0.294,False,-0.3855,0.8575,24,False,"All agree: none"
Chchd1,Other,0.6685,0.1992,Real,79.8265,11.92,0.0251,0.3936,True,-0.4699,0.2331,24,False,"Partial"
Zswim8,Other,0.7262,0.4954,Real,3.1971,9.42,0.9825,0.0025,False,0.1168,1,20,False,"AR(2) unique"
