dataset,gene,category,n_tp,ar2_ols_mod,ar2_ols_r2,ar2_ols_aic,ar2_ols_b1,ar2_ols_b2,sarimax_mod,sarimax_aic,sarimax_b1,sarimax_b2,ll_mod,ll_aic
GSE11923_Liver_48h,Prc1,background,48,0.7453276076929849,0.3168840322774865,136.94931204542797,0.45114741073860776,0.21926062242665706,0.7453276076929849,,0.4511474107386077,0.21926062242665706,0.9840131916592594,268.8581583395619
GSE11923_Liver_48h,Fasn,target,48,0.5382508171531909,0.4123405058157934,851.9447269296977,0.6792134371346406,-0.07587324539306999,,,0.6792134371346407,,0.5830523529718339,1011.8650842367625
GSE11923_Liver_48h,Tef,clock,48,0.734444025126988,0.7451142669134279,645.2385174044443,1.0571200587729939,-0.23698748496298394,,,0.99,,0.7334858242021686,796.1151896328631
GSE11923_Liver_48h,Birc5,target,48,0.32359257639870614,0.01077303018588649,150.25982996123008,0.05112571153330102,0.08816825478507453,0.32359257639870614,,0.05112571153330102,0.08816825478507453,0.988003309153038,285.7481270313185
GSE11923_Liver_48h,Myc,target,48,0.43631385056145544,0.06959252722962583,538.9814982902894,0.22694928440701384,0.09134866002997295,0.43631385056145544,,0.22694928440701384,0.09134866002997295,0.9441206545456201,688.9686771891235
GSE11923_Liver_48h,Arntl,clock,48,0.8951979170560682,0.8113187273767637,558.4465896029262,0.8697445806766643,0.0227857737089698,0.8951979170560682,,0.8697445806766644,0.022785773708969795,0.8892765786272219,705.2847541742185
GSE11923_Liver_48h,Rorb,clock,48,0.8714085524417365,0.39758889922559215,65.31613810378614,0.46649777355607713,0.3528427156968085,0.8714085524417364,,0.4664977735560771,0.3528427156968085,1.0581494107819733,193.538854140426
GSE11923_Liver_48h,P2ry6,background,48,0.3509284876210946,0.03199848970765684,264.22026177663315,-0.13778787796519779,-0.12315080342402875,,,-0.13778787796519779,,0.987404148268217,413.16065295412767
GSE11923_Liver_48h,Rbpms,background,48,0.9109614832989679,0.665239970706915,528.4412689364435,0.7024702083719944,0.1899275210623686,0.9109614832989679,,0.7024702083719944,0.1899275210623686,0.9217400370083784,673.7187092563731
GSE11923_Liver_48h,Rorc,clock,48,0.8697370986670496,0.7942788721074594,557.8181606908164,0.9467760023286658,-0.06700359255514438,,,0.9467760023286658,,0.8570744211710709,716.046317478685
GSE11923_Liver_48h,Ros1,background,48,0.961281598002993,0.3700113026062253,104.05356385038121,0.4093546087950496,0.5305572581667923,0.961281598002993,,0.4093546087950496,0.5305572581667924,1.06905723035274,235.38168857584316
GSE11923_Liver_48h,Dbn1,background,48,0.23655551640704892,0.017589665647615216,181.92163538279834,0.12697628344333398,0.025921572041219903,0.23655551640704892,,0.12697628344333398,0.025921572041219906,0.9785315749013415,315.12569715030304
GSE11923_Liver_48h,Osr2,background,48,0.908008519706125,0.4896407589233991,29.193870883093105,0.4838791621641415,0.3851130701056063,0.9080085197061251,,0.48387916216414156,0.38511307010560625,1.0390341325920804,162.12235224030647
GSE11923_Liver_48h,Fgf5,background,48,0.7788499980381349,0.30429180973717884,-11.7542871418878,0.39784281070925154,0.29674744710361617,0.778849998038135,,0.39784281070925154,0.2967474471036162,1.0021263140030565,117.00112126682241
GSE11923_Liver_48h,Cry2,clock,48,0.6828812988261332,0.42704542741977847,563.6436316850732,0.6340719228706757,0.033331010047355863,0.6828812988261332,,0.6340719228706757,0.033331010047355863,0.5632973633643239,713.28067792233
GSE11923_Liver_48h,Nr1d1,clock,48,0.5400082986580578,0.724470943891238,561.3890578829299,1.0797596007302794,-0.2916089626195701,,,0.99,,0.5400910379996924,712.0355763800226
GSE11923_Liver_48h,Gm8096,background,48,0.8687928878105806,0.3952611226506383,47.432771127392535,0.4766972578285201,0.34064989467002327,0.8687928878105806,,0.47669725782852007,0.34064989467002327,1.0369867543554758,177.3464257291478
GSE11923_Liver_48h,Antxr2,background,48,0.489312013252716,0.20436363278944147,637.1726946306817,0.441690504441813,0.02330177635039488,0.489312013252716,,0.441690504441813,0.023301776350394876,0.5359031030121556,792.3946934508455
GSE11923_Liver_48h,Atp1a2,background,48,0.2050663308625182,0.0033794400944948677,305.65808665099007,-0.04179354667322339,-0.04205220005341578,,,-0.04179354667322339,,0.9277098924060921,446.6320179120211
GSE11923_Liver_48h,Acaca,target,48,0.629524808631656,0.29977353561464404,573.0140095178377,0.48551616914277995,0.09065701121553987,0.629524808631656,,0.48551616914277995,0.09065701121553989,0.7672992398905869,726.1057558501284
GSE11923_Liver_48h,Gm8882,background,48,0.7734814966161393,0.32760087808619476,194.37750160928573,0.40538249556414274,0.28471776623660405,0.7734814966161393,,0.40538249556414274,0.2847177662366041,0.9904426035300996,329.1936535446366
GSE11923_Liver_48h,Mfap3l,background,48,0.7787101323956458,0.30493764009806834,145.67577336912166,0.41739201767105244,0.2813620769541333,0.7787101323956458,,0.4173920176710524,0.28136207695413323,1.0319702065095584,277.42039422189737
GSE11923_Liver_48h,Tekt3,background,48,0.851484089520937,0.44105857498803946,71.73770955416019,0.44269840996053367,0.3480745021696876,0.851484089520937,,0.44269840996053367,0.34807450216968755,0.9937071755304197,204.27644163690314
GSE11923_Liver_48h,Zbtb25,background,48,0.5891815890105054,0.125551736869977,62.05781088214394,0.28385136971651154,0.1798949437765614,0.5891815890105054,,0.28385136971651154,0.1798949437765614,0.9785945117260568,191.8111623856886
