gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_02306	0.9105	0.367	1.2624	-0.3466	N	317.4	0.1585
ECB_01974	0.8615	0.020	1.0158	-0.1348	N	49.6	0.4566
ECB_00681	0.8037	0.351	1.1810	-0.2767	N	127.7	0.2378
ECB_02085	0.5818	0.262	0.6474	0.1812	N	164.6	0.0742
ECB_00072	0.8639	0.056	1.0963	-0.2042	N	39.0	0.4774
ECB_02086	0.8457	-0.237	0.8196	0.0333	N	70.9	0.3921
ECB_02740	0.7213	0.100	0.9306	-0.0620	N	202.1	0.1592
ECB_01222	0.8728	0.267	1.3299	-0.4048	N	67.2	0.3683
ECB_03502	0.5953	-0.070	1.1524	-0.2525	N	77.8	1.7584
ECB_00884	0.9550	0.024	1.0356	-0.1523	N	53.3	0.4199
ECB_02940	0.6752	-0.060	1.0112	-0.1314	N	30.2	0.6055
ECB_01931	0.6125	0.346	1.0437	-0.1593	N	792.6	0.0620
ECB_04157	0.7322	0.364	1.1742	-0.2713	N	2439.1	0.0564
ECB_00434	0.9019	-0.214	0.8743	-0.0142	N	34.7	0.5726
ECB_03421	0.7609	-0.352	0.7935	0.0551	N	13.8	0.9919
ECB_04192	0.6953	-0.138	1.1045	-0.2117	N	46.5	3.1387
ECB_01266	0.7957	0.166	0.8811	-0.0201	N	45.6	0.1995
ECB_00685	0.8541	0.461	1.2575	-0.3429	N	1431.7	0.0691
ECB_01892	0.8476	0.453	1.2508	-0.7354	Y	5.3	19.5000
ECB_01984	0.7431	-0.023	0.9519	-0.0809	N	73.0	0.3560
ECB_03256	0.3499	0.156	1.0433	-0.1594	N	37.4	0.2881
ECB_00464	0.5228	0.092	0.9600	-0.0881	N	3.1	0.5333
ECB_02932	0.7738	0.428	1.4128	-0.4763	N	5.8	8.3864
ECB_01749	0.8235	-0.256	0.8432	0.0119	N	42.9	0.3807
ECB_00616	0.7271	-0.209	0.9295	-0.0622	N	4.3	1.9390
ECB_00413	0.9149	0.382	1.2044	-0.2979	N	761.8	0.0886
ECB_01019	0.9703	0.132	1.3014	-0.3810	N	68.7	0.7729
ECB_00788	0.6360	-0.247	0.6751	0.1555	N	10.1	0.6294
ECB_04105	0.5924	-0.368	0.7119	0.1239	N	6.5	0.4515
ECB_00318	0.9417	0.230	0.8969	-0.0349	N	38.6	0.1515
ECB_03103	0.8079	-0.232	0.9395	-0.0714	N	30.5	0.5479
ECB_02011	0.7224	0.342	0.8264	0.0252	N	11.1	0.1994
ECB_03151	0.6808	0.517	1.2631	-0.3485	N	6996.3	0.0348
ECB_00852	0.8089	-0.032	1.0929	-0.2029	N	50.0	1.7255
ECB_02093	0.9146	-0.408	0.8247	0.0266	N	4.8	2.4375
ECB_00525	0.7753	-0.137	0.9194	-0.0545	N	3.6	2.9464
ECB_01162	0.8396	0.136	1.0988	-0.2080	N	156.9	0.3143
ECB_02812	0.6910	0.318	0.6072	0.2122	N	17.2	0.1382
ECB_02992	0.7089	-0.256	0.6694	0.1590	N	9.0	0.3500
ECB_00396	0.5388	-0.440	0.7511	0.0892	N	42.4	0.4870
ECB_02354	0.7118	0.057	1.0834	-0.1952	N	216.7	0.3235
ECB_04027	0.5366	-0.202	0.9352	-0.0687	N	38.7	1.9593
ECB_00270	0.5493	0.116	1.0578	-0.1735	N	140.6	0.3752
ECB_03984	0.8892	-0.216	0.9208	-0.0566	N	26.4	0.7767
ECB_02488	0.9492	0.353	1.3586	-0.4308	N	682.8	0.2123
ECB_01821	0.6976	0.223	1.0648	-0.1797	N	92.4	0.1717
ECB_03718	0.6506	0.359	1.0121	-0.1347	N	481.0	0.0556
ECB_03383	0.8699	-0.559	0.6099	0.2088	N	5.0	0.7279
ECB_03410	0.0000	0.391	1.2599	-0.3465	N	541.3	0.1005
ECB_01559	0.9101	0.228	1.0858	-0.1979	N	303.3	0.1567
ECB_00893	0.8626	0.471	1.1702	-0.2700	N	1447.9	0.0364
